# TOTK Randomizer by Waikuteru - v1.4.4
3bc1985f;Float;Randomizer_SecondSubtractValue
bd9a14d8;Float;Randomizer_SecondStartValue

d6999173;String64;Randomizer_Spawn_Actor_00
9a424081;String64;Randomizer_Spawn_Actor_01
3fee74b4;String64;Randomizer_Spawn_Animal_Actor_00
bd8ff083;String64;Randomizer_Spawn_Animal_Actor_01
185329d0;String64;Randomizer_Prohibition_ActorName
1d354e22;String64;Randomizer_Prohibition_Actor_00
513a3c8a;String64;Randomizer_Take_ActorName
bee7782f;String64;Randomizer_Take_Actor_00
5b7de95c;String64;Randomizer_Take_Actor_01
863ef0dc;String64;Randomizer_Take_Actor_02
3a5a2834;String64;Randomizer_Warp_ActorName
061f5d96;String64;Randomizer_Environment_Last_Palette
c79eb970;String64;Randomizer_Environment_Last_Weather


99ffa949;Bool;Randomizer_IsUseVowSageTrigger
12406ce8;Bool;Randomizer_Cycle_IsPassSecond
9507b92b;Bool;Randomizer_SpawnSystem_IsLongInAir
863de9a4;Bool;Randomizer_SpawnSystem_IsSmallRange
359bd13a;Bool;Randomizer_IsFixedQuestList


2a229822;Bool;Randomizer_Special_IsCameraUpDownReverse
d3399eae;Bool;Randomizer_Special_IsCameraRightLeftReverse
f26a1503;Bool;Randomizer_Special_IsSpecialPowerRotateUpDownReverse
615dde48;Bool;Randomizer_Special_IsSpecialPowerRotateRightLeftReverse
f2a1acae;Bool;Randomizer_Special_IsChangeJumpButton



a9ff195a;Bool;Randomizer_Special_IsTimerRunning

4049de55;Bool;Randomizer_Special_IsRefillStatHeart
817fba4c;Bool;Randomizer_Special_IsRefillStatStamina
66de22b5;Bool;Randomizer_Special_IsRefillStatEnergy

2bf1cebf;Bool;Randomizer_Special_IsControlChange
a0dcf261;Bool;Randomizer_Special_IsLoadoutChange
4308ccc3;Bool;Randomizer_Special_IsCameraShake
08be95ef;Bool;Randomizer_Special_IsTreeBomber
0b1919bc;Bool;Randomizer_Special_IsFireBallChaos
03c4d8f2;Bool;Randomizer_Special_IsBlupeeDrop
7c69f1fb;Bool;Randomizer_Special_IsChestDrop
2dd9660c;Bool;Randomizer_Special_IsFairyDrop
f9647685;Bool;Randomizer_Special_IsGanon

b4368c11;Bool;Randomizer_Special_IsToldDisableCameraShake


85437895;Bool;Randomizer_Shop_IsSeenFirstTime
d776c420;Bool;Randomizer_Shop_IsBuyConfirmed
7e9a552d;Bool;Randomizer_IsGoalCat_CheckPoint
30ef6014;Bool;Randomizer_IsGoalCat_Dungeon
a0e37d88;Bool;Randomizer_IsGoalCat_Find
61a0c007;Bool;Randomizer_IsGoalCat_Have
f7f9f2d6;Bool;Randomizer_IsGoalCat_HeadShot
6d3a890d;Bool;Randomizer_IsGoalCat_Kill
7792e76b;Bool;Randomizer_IsGoalCat_Obtain
18023dc1;Bool;Randomizer_IsGoalCat_Photo
d2ee0efe;Bool;Randomizer_IsGoalCat_Quest
3304f276;Bool;Randomizer_IsGoalCat_Special
4029ee7b;Bool;Randomizer_Environment_IsAnyWind
8c640155;Bool;Randomizer_Environment_IsLowGravity
7ee26e19;Bool;Randomizer_Prohibition_Weapon
caaad392;Bool;Randomizer_Prohibition_Bow
2b861be1;Bool;Randomizer_Prohibition_Shield
1ca9e363;Bool;Randomizer_Prohibition_Head
750fc3b4;Bool;Randomizer_Prohibition_Upper
e2f968c2;Bool;Randomizer_Prohibition_Lower
2a73d15e;Bool;Randomizer_IsOnDragonTearOne
a9beef5a;Bool;Randomizer_IsOnDragonTearLast
350f055f;Bool;Randomizer_GoalMode_IsAddGoals
04dd5567;Bool;Randomizer_Option_IsCycle_BGM
e6231751;Bool;Randomizer_Option_IsCycle_Environment
1c05001d;Bool;Randomizer_Option_IsCycle_Get
872bd448;Bool;Randomizer_Option_IsCycle_MaxStat
ed1f4efb;Bool;Randomizer_Option_IsCycle_Money
0779193a;Bool;Randomizer_Option_IsCycle_Prohibition
6452f668;Bool;Randomizer_Option_IsCycle_Spawn_Animal
eeb2615a;Bool;Randomizer_Option_IsCycle_Spawn
39cef77c;Bool;Randomizer_Option_IsCycle_Special
587e4f21;Bool;Randomizer_Option_IsCycle_Take
3ce66b12;Bool;Randomizer_Option_IsCycle_Time
43924958;Bool;Randomizer_Option_IsCycle_Warp
bff1fb67;Bool;Randomizer_IsAnyAbilityOrAction
031c8ff0;Bool;Randomizer_IsOnCycleWarp
5332d924;Bool;Randomizer_IsStartCycleDone
bed2b646;Bool;Randomizer_IsForcePluralProhibition
f4fb9870;Bool;Randomizer_IsRerollForWeaponAttachment
3668fc4b;Bool;Randomizer_IsInvalidWeaponAttachment
c0304215;Bool;Randomizer_IsForceWeaponAttachment
ee5507ed;Bool;Randomizer_IsSwordWeaponForEffect
5200ba40;Bool;Randomizer_IsShieldWeaponForEffect
a59bf2b7;Bool;Randomizer_IsGoalMode
0be0b2c7;Bool;Randomizer_IsRequestGoGanondorf
b55a1bd2;Bool;Randomizer_IsFirstTimeHelloDone
d932fa75;Bool;Randomizer_GoalMode_IsRemoveSpecific
8fbb8fd8;Bool;Randomizer_IsDummyNoTempleEver
7f3a9e5d;Bool;Randomizer_IsEnableCoreAbilities
d415c8f7;Bool;Randomizer_IsDoneConfigBoolOptions
31ea4471;Bool;Randomizer_Option_IsDisableCycle
5efa2683;Bool;Randomizer_Option_IsPunitiveDeath
